Date,Open,High,Low,Close,Adj Close,Volume
2020-07-22,354.850006,355.299988,349.500000,350.899994,350.899994,3102512
2020-07-23,351.049988,354.399994,348.000000,349.700012,349.700012,2545022
2020-07-24,352.000000,358.750000,347.250000,357.100006,357.100006,2761933
2020-07-27,359.799988,360.600006,347.350006,350.450012,350.450012,5332659
2020-07-28,355.000000,368.899994,355.000000,361.950012,361.950012,10442262
2020-07-29,362.850006,366.450012,359.149994,362.149994,362.149994,3449410
2020-07-30,364.100006,366.899994,358.950012,364.500000,364.500000,2411986
