Date,Open,High,Low,Close,Adj Close,Volume
2020-07-22,493.000000,495.200012,478.399994,481.049988,481.049988,3073060
2020-07-23,482.950012,486.850006,476.649994,479.450012,479.450012,2331308
2020-07-24,479.000000,482.799988,470.149994,471.500000,471.500000,2141706
2020-07-27,473.000000,474.200012,462.950012,466.399994,466.399994,3751567
2020-07-28,466.399994,477.000000,466.000000,475.100006,475.100006,3183237
2020-07-29,476.750000,491.649994,476.549988,489.600006,489.600006,6554407
2020-07-30,493.899994,497.750000,480.750000,491.899994,491.899994,8627452
