Date,Open,High,Low,Close,Adj Close,Volume
2020-07-22,193.000000,197.899994,192.500000,196.550003,196.550003,32572133
2020-07-23,197.649994,201.500000,196.800003,200.699997,200.699997,31488108
2020-07-24,201.000000,201.699997,197.300003,199.600006,199.600006,60183102
2020-07-27,200.500000,200.500000,195.149994,196.399994,196.399994,22645697
2020-07-28,197.000000,198.649994,195.050003,195.399994,195.399994,19287132
2020-07-29,193.449997,198.199997,193.399994,196.699997,196.699997,14831635
2020-07-30,198.399994,198.399994,192.500000,193.350006,193.350006,16301482
