Date,Open,High,Low,Close,Adj Close,Volume
2020-07-22,17350.000000,17440.000000,17001.099609,17151.800781,17151.800781,156478
2020-07-23,17120.000000,17298.900391,17050.000000,17256.400391,17256.400391,106941
2020-07-24,17125.099609,17410.000000,16960.000000,17251.800781,17251.800781,207280
2020-07-27,17300.000000,17414.900391,17211.900391,17350.199219,17350.199219,103828
2020-07-28,17407.000000,17474.699219,17007.699219,17095.400391,17095.400391,158967
2020-07-29,16999.900391,17199.000000,16510.599609,16597.800781,16597.800781,450505
2020-07-30,16740.000000,16771.949219,16451.099609,16524.000000,16524.000000,128426
